movieName;Metascore_w;diff;Author;Summary
the-girl-on-the-train-2016;5;4;foxgrove;"[ ""Like last year’s ‘Gone Girl’ this book to film adaptation is less accomplished than its original source. Whereas ‘Gone Girl’ was so reverential to the book it failed due to any lack of surprise in the narrative, The Girl on the train, although less burdened by this issue, is just not as good a story. The film lacks surprises or a distinctive style despite Emily Blunt’s impassioned performance. The screenplay is somewhat muddled in the telling (location shift to New York is the least of the movie’s problems) and some of the lead actors look so alike that further confusion ensues. Ultimately this is a big title that will be forgotten very quickly."" ]"
disorder;9;8;foxgrove;"[ ""A slow building drama that turns into a riveting thriller due to the unconventional way that director Alice Winocour steers well clear of conventional ‘boo’ moments, but still obtains more than a few jumps anyway. Matthias Schoenaert’s muscular and brooding presence as an ex-soldier suffering post-traumatic stress syndrome is also a huge asset. He seems to fare a lot better in movies when speaking in his native tongue. The screenplay ekes out plenty of interesting detail in the unfolding of his relationship with Diane Kruger’s bored trophy wife, who he has been assigned to protect whilst her husband is away on shady business. The ending offers up a closing moment that for a second has you questioning what you are seeing. Special appreciation must be given to the music and sound design which play a big part in communicating Schoenaert’s medical condition."" ]"
ben-hur;5;4;foxgrove;"[ ""Comparisons are odious as propagated by those who suffer from such comparisons, and whilst films like this attempt to remake classics from the golden years it is highly likely that the comparison drawn will be unfavourable to the pretender. The original Ben Hur was a record breaking, Oscar laden epic that employed the old school styles of acting, colour and cheesy special effects with such assured confidence that it almost defied criticism. This Ben Hur invites it, even if ultimately it is not as bad as cynical naysayers would have us believe. The original Judah, Charlton Heston, took the whole thing incredibly seriously turning in an Oscar winning performance which cemented his appeal in this type of sword and sandals pic. I’m afraid that Jack Huston’s lack of screen presence and charisma will not be doing the same for him. His Ben Hur, along with the rest of the cast actually, is one dimensional and colourless complimenting, in fact, the surprisingly drab production values. Director Timur Bekmambetov keeps the camera in close for many scenes which has the effect of dissipating any chance of an epic aura. To add to this the actors’ line delivery is often flat and unconvincing. This adds immeasurably to the amateurish feel that the production can’t seem to dispel for much of its running time. Still, two sequences work very well indeed aided no end by some wonderful camera shots, precise editing and impressive special visual effects. Firstly, the chariot race is good enough, and long enough, to stand favourable comparison to the earlier film and the galley slave scenes are also up to par in their excitement value. Not a complete disaster then, but it is another remake that is as misjudged and second rate as it is unnecessary."" ]"
sully;5;4;foxgrove;"[ ""A disappointing but predictably pedestrian telling of the plane that, due to an unforeseen bird strike on the aircraft, went down in New York's Hudson River. This is a big incident being told in a small time frame for the most part. Therefore, once the birds have done there damage and the plane crash lands there is nowhere much else for the film to go. Sure, we have endless 'what if' reconstructions and the inevitable investigation into the cause of the plane's downing, but this is all filler even if the recreations of the crash are well realised. The investigation by officials into Sully's actions are a bit on the ploddy side, only sparking any interest very occasionally. The scenes with Laura Linney are just impossible. The actress plays the part of the rather selfishly concerned wife in a dreary and tiresome manner. Her scenes add nothing to the drama, but add much to the film's descent into the average. Thankfully, the film is mercifully short."" ]"
bridget-joness-baby;7;6;foxgrove;"[ ""Renee Zellweger effortlessly reprises her wonderfully kooky character in this belated third film in the series. Although a touch over long, the movie is full of great British actors at their funny best, especially the excellent Emma Thompson. Only to be avoided by those who dislike having a good time."" ]"
florence-foster-jenkins;7;6;foxgrove;"[ ""The commercial response to art house and Cesar winning French hit Marguerite adds nothing to an already one note joke scenario. Both films have tried to make this true story interesting, but whilst the potential is there it just resolutely refuses to take flight on film. This version although positioned more prominently as a comedy is definitely not the laugh fest hoped for. The problem is that as soon as the singer who can’t sing a note is revealed the film just doesn’t have anywhere further to go as a comedy. Meryl Streep works valiantly in the role and is definitely the film’s saving   grace giving a broad performance that is, by turn, both sad and (occasionally) funny. Simon Helberg is also a very enjoyable as the pianist accompanying Florence who worries about his reputation even as he pockets the generous wage from his less than talented pupil. Like its French counterpart, production values are high with gorgeous Art- Direction and costumes on display. However, the inherently disappointing failure of both films leaves one questioning if we really needed either?"" ]"
summertime;9;8;foxgrove;"[ ""This beautiful and subtly nuanced lesbian drama starts so promisingly that the heart races before the head in anticipation of what is to come. Unfortunately, the film relocates from its tranquil country setting to Paris circa 1971 and one starts to fear that it is going to lose its way. Here the closeted Delphine meets feminist and political activist Carol and it’s not long before the two are studying more than politics. These Parisian scenes are by far the weakest in the film and the heavy handed political diatribes and ranting by the feminist group about such topics as abortion are just annoying and alienating. An unforeseen circumstance forces Delphine back to the farm and her mother, Monique, and it isn’t long before Carol joins her there. From here on in the film becomes the one you always wanted it to be, intoxicatingly absorbing. Cecile De France (Carol), bearing an uncanny resemblance to Julia Roberts, and Izia Hegelin (Delphine) slowly get us to care and invest in these characters and as events develop we are treated to some exquisitely realised and, at times, moving scenes (Carol dancing with Delphine’s mother; The train station and the coda circa 1976 are all wonderful moments). As Monique, Delphine’s knowing and watchful mother, Noemie Lvovsky is terrific in support. The film also has some very pretty music on the soundtrack which is a very welcome antidote to the clutch of awful songs that occasionally burst forth, again mainly in the jarring Paris interlude. Due to its subject matter and frequent unashamed nudity this is not a film for everyone. However, others will be surprised by just how immersed they become in this little drama about growing up gay in a small conservative community in the 70’s. Ultimately, this is that rare unambitious film that truly resonates after the credits have rolled and is a most welcome alternative to the dross the summer season has offered thus far."" ]"
jason-bourne;3;2;foxgrove;"[ ""Aside from Alicia Vikander’s nicely textured performance this is the tried and not so trusted formula as before aimed squarely at audiences who prefer their movies indecipherably action packed, rather than intelligently scripted. If you want action; you got it. You want messy and frenetic editing? you got it. You want global city hopping? you got it. You want a slight, over extended and ludicrous story? you got it. You want fake tension? you got it. You want an insistently pounding score adding nothing to that fake tension? you got it. You want entertainment? Really! Well tough s*** cause you ain’t got it! Copy That!"" ]"
our-kind-of-traitor;5;4;foxgrove;"[ ""A watchable but unexcitingly bland spy story (no hesitation here in not using the word ‘thriller’) from the pen of John Le Carre that is a rather bloodless affair in every sense of the word. Politely, rather too politely, directed by Susanna White the film is singularly lacking in tension and follows a very predictable and unconvincing story trajectory. The actors do their best to engage the interest and a couple of scenes ignite (in one case literally) but, Tinker Tailor it isn’t!"" ]"
sausage-party;2;1;foxgrove;"[ ""On paper this must have seemed like a sure fire hit. A crude and politically incorrect toon about food stuffs misguidedly dreaming of a better life outside of the super market shelves. Unfortunately, the execution leaves a lot to be desired and the bad taste jokes remain just that with the lack of laughs exacerbating the true offensive nature of the material, which possibly has something to offend almost everyone. There is a certain irony to be had from the fact that the film, aimed squarely at the adult market, is more juvenile in concept and writing than ‘Finding’ Dory’ or ‘Zootopia’, both of which are intelligently written, imaginative and truly funny. For most of its running time ‘Sausage Party’ flounders without inspiration in a desperately hysterical manner. A couple of gags raise a grudging smile and there is one very good sequence where the different sausages and veg discover their fates in a suburban kitchen. Other attempts at humour, however, involving a lesbian taco, a Stephen Hawking inspired bubble gum and a Middle Eastern pitta bread all fail miserably. Where the film does succeed though is in underlining the low level of humour to which the whole enterprise aspires."" ]"
cafe-society;7;6;foxgrove;"[ ""Woody Allen’s films are often either a hit or miss affair. Thankfully, Café Society can be considered a minor hit. In fact it is Allen’s best film since the excellent ‘Blue Jasmine’ three years ago. It can also be considered something of a surprise in many ways. Jesse Eisenberg is really rather good playing a role that Allen would have allocated to himself a couple of decades ago, and a blossoming Kristen Stewart does herself no harm at all in adding this confident performance to her cv. The screenplay is also relatively funny. It may not be an all-out laugh fest, but it certainly encourages one to wear a smile throughout the running time. Visually the film is one of Allen’s most accomplished belying what is probably a fairly modest budget. Vittorio Storaro’s cinematography must be amongst the best of the year in its field. Ditto the gorgeous production design and dazzling costumes. All in all it is definitely a more enjoyable film to watch than you would expect based on the quality of Allen’s recent output."" ]"
hell-or-high-water;9;8;foxgrove;"[ ""This lean and masterfully directed screenplay is entirely without a superfluous moment. Rich in detail and brilliantly acted it is one of those rare films that resonates even more on reflection than whilst actually watching it. Ben Foster and Chris Pine convince totally as bank robbing brothers and veteran Jeff Bridges is at his very best as the retiring sheriff determined to catch the pair before he quits. Other supporting characters are deliciously written and outstandingly played by an unknown cast and the whole thing is beautifully shot with New Mexico standing in for Texas. Nick Cave contributes an outstanding score which is reminiscent at times of the Coen brothers ‘Fargo’. This is one hell of a movie that deserves the almost unanimous accolades that have been bestowed upon it."" ]"
de-palma;9;8;foxgrove;"[ ""As a card carrying member of the De Palma fan club it is much appreciated to find this an absorbing and fitting tribute to the best director of all time. There are no talking heads here, only the big guy himself tossing out facts or anecdotal tidbits on all his films from A-Z. And indeed the work speaks for itself. Even a lesser De Palma was always better than the best from a journeyman director. His best work, Carrie, is my favourite film of all time, but his other greats include Phantom of the Paradise, Obsession, Dressed to Kill, Blow out and The Untouchables. Another couple of his films would also deserve this accolade – Scarface and Casualties of War. However, their distressingly unflinching content makes them far more difficult to want to revisit. De Palma himself states that most Directors do their best work in their 30’s, 40’s and 50’s and it would certainly seem to be true when assessing his filmography. His later films whilst never less than interesting are nowhere near the quality of his best work. In fact between 1990 and 2016 he has only made one outstanding movie – Carlito’s Way."", ""The 70’s was indeed a great decade for both movies and directors. Spielberg, Coppola and Scorsese were all getting their due. King of them all though was this man, comparatively under appreciated. His imaginative use of the camera, stylisation and fearless audacity are just breath taking. He certainly knows how to produce a ‘set piece’. Hitchcock should, and I’m sure would, have been flattered by his visual tributes. His many critics were arbitrarily dismissive and uncomprehending of his nods to the ‘master of suspense’. Only the legendary Pauline Kael seemed to truly champion him. De Palma can also be proud of the absolutely beautiful music scores that accompany most of his films from composers like Pino Donaggio, Bernard Herrman and Ennio Morricone."", ""Film makers Noah Baumbach and Jake Paltrow are to be congratulated, not only for the wealth of film clips on offer, but for allowing us to feast on the brilliance that is Brian De Palma. It is, as Films Illustrated said in their review of ‘Carrie’ in 1977, a superb treat."" ]"
the-neon-demon;7;6;foxgrove;"[ ""Arrogantly, but perhaps not entirely undeserved, Nicolas Winding Refn stamps his initials all over the opening credits of ‘The Neon Demon, a stylish, flawed and intermittently stunning visual experience that hypnotises even as it frustrates. Refn’s achievement is almost totally due to his precise and immaculate framing of each sequence and, indeed, each shot. Aided no end by knockout cinematography it all adds up to a fascinating watch as well as being a superb exercise in visual story telling. Admittedly as well as being enticing it is also baffling and there are more than a few longueurs (Fanning’s end of show cat walk being the most glaring example) that could have been excised along the way. Also the film has a couple of rather nasty and distasteful scenes within its framework, one of which involves a knife and the other a dead body, which will certainly alienate a few viewers. Refn’s direction is really better than the slight story deserves. Whereas ‘Drive’ employed a visual style to compliment the screenplay, ‘The Neon Demon’ demonstrates the exact reverse. It does, however, have a good and all-consuming final word about the fashion industry which does compliment most of what has gone before and is certainly not anti-climatic."", ""Technically the film is outstanding with kudos especially deserved in the area of costumes, make-up and sound. Cliff Martinez again provides yet another all-encompassing and vital score for a Refn film which contributes 100% to the overall impact"" ]"
captain-america-civil-war;4;3;foxgrove;"[ ""Due to unforeseen circumstances, aided and abetted by a rainy day, I found myself once again submitting to the very dubious pleasures of Marvel. Admittedly this is a few notches up from previous efforts and, despite a patchy and inconsistent screenplay there is actually a germ of a good story being played out, albeit at monstrously excessive length. The mystery surrounding the deaths of Iron Man’s parents; the brief introduction of additional warriors and a fantastic stunt set piece involving Captain America and a helicopter are all plot points or moments that promise much. Unfortunately, pasting such highlights between endless fights and battles ensure that the story’s flow becomes a stop start affair. These action sequences are not only lengthy and unimaginatively staged, but are also loaded with the usual tiresome banter and unfunny lines which severely disjoint the passably good story and seem to have become a staple ingredient of these films. Technically the achievements are good enough, but it has to be said that the cinematography is very dark for much of the time. Also, the special effects whilst perfectly acceptable are not really showcasing anything new. Fans will, I’m sure, lap it all up. However, even as I contemplate this certainty the one question that keeps wanting to be asked is WHY?"" ]"
maggies-plan;2;1;foxgrove;"[ ""The silly season is not lifted one iota by this critically lauded, but extremely overrated comedy- drama.  Comparisons can be made to a bad Woody Allen outing in so much as the film is set in New York and has a very verbose script, but similarities end there. Whereas Allen at his best employs great actors in good stories this verbiage finally adds up to nothing more than pretentious drivel. Despite a good start with early scenes promising an Art house level of sophisticated articulation, it’s not long before the eyes glaze over, the ears tune out and one is left to endure a bunch of uninteresting characters espousing little more than blah, blah, blah. All three leads are not at their best. Greta Gerwig is still Greta who? Julianne Moore continues to lose her edge in yet another downward spiral performance and even Ethan Hawke is the weakest he’s been for years. In fact, it is the supporting turn of Bill Hader that impresses most as Gerwig’s ‘say it as it is’ best friend. Ultimately the film is neither funny nor dramatic enough to make one care about any of these tiresome characters and their predicaments are totally uninvolving. As for the jolly incidental music, this is just another irritating aspect of a small and insignificantly forgettable film."" ]"
ingrid-bergman-in-her-own-words;10;9;foxgrove;"[ ""A fantastic in depth and insightful documentary about the three times Academy Award winning actress that offers so much more than the usual sketchy A-Z cut and paste biography usually allotted to actors lives. This wonderful warts and all tribute eschews an over indulgence of talking heads and old movie clips in favour of home video and archival film footage. Surprisingly, In fact, clips from Bergman’s movies are kept to a minimum. Her four children provide much of the insight and speak candidly, but lovingly about their career driven mother who nearly always allotted them second place to her desire to work."", ""Whilst viewing one is reminded just how statuesque and radiantly beautiful Bergman was, as in a lot of her films she wasn’t presented that way at all. Her pre-occupation with Joan of Arc is touched upon, and it’s also a real treat to see actresses as different as Sigourney Weaver and Liv Ullman appear together to supply both glowing and humorous anecdotes. Poignancy is added to the whole thing by Michael Nyman’s characteristically moving and identifiable score which, whilst it may be guilty of some manipulation, is still a perfect emotional fit for the tone and images on display."", ""Finally, credit must go to the excellent Alicia Vikander for providing the voice of Bergman in such an impressively unobtrusive manner. A documentary of outstanding quality."" ]"
marguerite;4;3;foxgrove;"[ ""A rather odd little film that’s kinda funny, but ultimately a very off key one note joke that is desperately over long. Inspired by the character of American soprano Florence Foster Jenkins whose singing was screechy and tunelessly awful, the film is most notable for its gorgeous design and costumes. Catherine Frot is fine, but this is not really a film eliciting much interest in the performances as it is just too ponderous. A promising start degrades into boredom and it is only when Marguerite is coached by an unwilling opera star, who is blackmailed to do so, that the film picks up to reach the heights of a decent dullness."" ]"
the-nice-guys;4;3;foxgrove;"[ ""The Nice Guys is a sort of homage to the buddy movies that were a product of the seventies, something akin to ‘Freebie and the Bean’, complete with 70’s background music that almost screams ‘A Quinn Martin production’. Unfortunately, the film is not half as funny as it thinks it is and the plot is undecipherable if your attention wanders even for a moment. Russell Crowe and Ryan Gosling take their cue from the inflated script and their performances, whilst engaging, are seriously over indulgent. Kim Basinger pops up in a key supporting role to little effect reminding one, fleetingly, of her superior Oscar winning turn in the much better ‘L A Confidential’. Of Angourie Rice playing Gosling’s daughter the less said the better although, to be fair, she is saddled with a lot of ‘adult’ dialogue which comes over as too clever by half when eliciting from her young mouth. The film does have a few impressively amusing sight gags and as a throwaway popcorn movie it is at least watchable. However, despite the blood and violence of its muscular exterior, what we really have here is trivial."" ]"
i-saw-the-light;7;6;foxgrove;"[ ""You will know the songs but, like me, you may not know that they originated from Hank Williams. This critically underrated biography of the country singer may be episodic in its presentation, but does a decent job of informing the uninitiated about its subject. Both Tom Hiddlesone and Elisabeth Olsen give good performances, although I have no idea how accurate they are in depicting the real people. Production values are ok, but the cinematography, whilst possibly aiming for a particular period look, is depressingly desaturated of much colour. Still, Hiddlestone has a credible voice and the scenes at the Grand Ole Opry are shot to good advantage. Overall an entertaining effort, but it is still a fair way behind the best Country music biography thus far filmed – ‘Coal miner’s Daughter’."" ]"
green-room;5;4;foxgrove;"[ ""The credible and the incredible meet to baffling effect in this strangely confused and confusing thriller. Ambiguous plot points and unexplained story elements leave one cold and, for a short film, it sure does out stay its welcome. Even the gore and horror moments are inconsistent and the visual effects make-up looks too unconvincingly rubbery to truly shock. The fact that someone with the type of hand injury as demonstrated here could go from victim to avenging vigilante is demonstrative of just how ludicrous aspects of the story are, and that’s before we start dissecting the paint ball theory. The familiar face of Patrick Stewart further distances credibility. His part called for someone of anonymity in the role and, whilst he is perfectly acceptable, you can’t help but think that it’s Patrick Stewart from the enterprise. The film also fails to thrill as it should and only comes to life momentarily when the victims start to fight back. Even then cast members disappear with a cough and a spit, gorily, but with none of the fanfare of tension that usually prolongs such situations in the best thriller/horror movies. Green Room may have one foot in the real world, but the other is definitely in the realms of fantasy."" ]"
eye-in-the-sky;9;8;foxgrove;"[ ""Drone warfare and the dilemma of various politicians and military personnel over whether or not to carry out a ‘capture or kill’ operation is the subject of this riveting spring coiled drama. When the targets they are monitoring in a house in a small Nairobi village become an immediate threat to many lives, the debate over the life of one child becomes the focus of the film. The various officials dodge responsibility or ‘pass the buck’ not wishing to be culpable should the collateral damage end up falling at their door. Where the film succeeds so brilliantly is in the writing which offers a balanced presentation of a difficult situation. Political, military and moral considerations weigh in and all facets of human emotion are never far from the surface as depicted by a fine ensemble cast. Even the propaganda machine is assessed. That the film is nail bitingly tense has to be seen to be believed as director Gavin Hood contains the action in a few rooms trusting that his use of close ups on the actors faces will complete the turn of the screw, with just a little help from some judicious editing. Helen Mirren is in her element here. She is always at her best when portraying strong women in control, and her Colonel Katharine Powell can certainly be counted amongst those. In his last screen appearance Alan Rickman has one of the film’s best lines. Rebuking a colleague’s judgemental comments his ‘Never tell a military man the cost of war’ reply, is powerfully delivered. Also, his need to get the right doll for his daughter underlines the pointless trivialities that we all enjoy whilst, generally, remaining detached from the life and death game called war."" ]"
the-wave;9;8;foxgrove;"[ ""It is uncharacteristically rare for the disaster genre to be chosen as the main topic for a foreign language film, but it is to the credit of the Wave that the result still oozes all the style and class that the best foreign language films have. The film takes a formulaic scenario, a mountain slide that threatens to cause a tsunami in the Norwegian fjords, but is engagingly played from the get go. Director Roar Uthaug keeps the pace energetic and with the help of some really snappy editing keeps the tension building right through to the somewhat conventional ending. The film is strong in the areas of sound and music and the wave special effects are stunningly realised. Following the Tsunami the cinematography also comes into its own including some tense underwater sequences."" ]"
hail-caesar!;5;4;foxgrove;"[ ""The most disappointing thing about ‘Hail Caesar!’ is that it had the potential to be a very funny pastiche of Hollywood’s golden age, and indeed the moments involving movie making recreations are sublime indeed. The problem is that the two main threads of the story are just not worthy of the incidental pleasures that the rest of the movie affords. The characters of Eddie Mannix and Baird Whitlock, played by Josh Brolin and George Clooney as a troubled studio head and kidnapped star respectively, are just not given the material to make their characters anything but dull, despite their perfectly respectable efforts. The film is basically too loosely written to gel properly into a satisfactory whole and it is definitely not as funny as it should be. Inspired moments peppered throughout enable a game supporting cast to try and salvage a film that is resolutely skewered to following the boring story arcs of Brolin and Clooney. Scarlett Johansson, Tilda Swinton and Ralph Fiennes all register strongly, but it is Channing Tatum and Alden Ehrenreich who steal the show. Tatum is dazzlingly fabulous in his big song and dance number demonstrating a talent I don’t think anyone could have imagined. And as Hobie Doyle, the dumb star of countless westerns making his transition to drama, Ehrenrich presents us with the most enjoyable and fully rounded character in the film. More of him and less of Brolin and Clooney would have been advantageous and most welcome. The film’s biggest laugh out loud moment, though, is reserved for Frances McDormand’s editor, C C Calhoun, whose one scene unwittingly, but deliciously, brings to mind Isadora Duncan. The film is finely crafted in all areas but especially in costume and production design. Their contributions add to the scenes recreating the movie making process which are undoubtedly the highlights of an otherwise very uneven film."" ]"
45-years;9;8;foxgrove;"[ ""A small low key drama that is big on impact as it rewards patient attention. The unfolding story takes place over the period of a week when Geoff (Tom Courtenay) and Kate (Charlotte Rampling) are about to hold a party to celebrate their 45 years together. The film slowly involves you in the couple’s relationship which is currently undergoing a testing time due to the arrival of a letter informing Geoff that a frozen body has been discovered in the Swiss Alps. This, believed to be that of his ex- girlfriend killed in a mountaineering accident just before he met Kate, unleashes all kinds of emotional turmoil, especially for Kate, and predictably ramifications ensue."", ""If the story is slight, although commendably very well written, the playing of the two leads is anything but. Tom Courtenay is good as Geoff but his role has to be considered a supporting one when compared to Charlotte Rampling. As Kate, she is at her superb best. In a hypnotically mesmerising turn, arguably her greatest, she displays all the inner turmoil through facial nuances and gestures. She is an absolute knockout here and this is yet another of her latter day performances that shows how maturity and age has really seen her come into her own. She is a fantastically underrated performer. Most actresses never enjoy the success that she has in her 50’s and 60’s. She is that rare example that defies the old adage that there are no good roles for women over 50. Well, her parts just keep getting better and better, as does she. Long gone are those indifferent roles in films like ‘Asylum’ and ‘Caravan to Vaccares’, enjoyable though they were. Director Andrew Haigh employs a similar technique to the one used in his excellent gay drama ‘Weekend’ and his location work in Norfolk is wonderfully refreshing. Most importantly though, having faith in his leading lady he unobtrusively lets Rampling carry the film. This she does with consummate ease."" ]"
